Well	Row	Column	Timepoint	Compound	Conc	Non-border cells - Number of Objects	Non-border cells - Total Spot Area - Mean per Well	Non-border cells - Relative Spot Intensity - Mean per Well	Non-border cells - Number of Spots - Mean per Well	Non-border cells - Number of Spots per Area of Cytoplasm - Mean per Well	Non-border cells - Intensity Nucleus HOECHST 33342 Mean - Mean per Well	Non-border cells - Nucleus Area [µm²] - Mean per Well	Non-border cells - Nucleus Roundness - Mean per Well	Non-border cells - Nucleus Symmetry 02  - Mean per Well	Non-border cells - Nucleus Symmetry 03  - Mean per Well	Non-border cells - Nucleus Symmetry 04  - Mean per Well	Non-border cells - Nucleus Symmetry 05  - Mean per Well	Non-border cells - Nucleus Symmetry 12  - Mean per Well	Non-border cells - Nucleus Symmetry 13  - Mean per Well	Non-border cells - Nucleus Symmetry 14  - Mean per Well	Non-border cells - Nucleus Symmetry 15  - Mean per Well	Non-border cells - Nucleus Threshold Compactness 30%  - Mean per Well	Non-border cells - Nucleus Threshold Compactness 40%  - Mean per Well	Non-border cells - Nucleus Threshold Compactness 50%  - Mean per Well	Non-border cells - Nucleus Threshold Compactness 60%  - Mean per Well	Non-border cells - Nucleus Axial Small Length  - Mean per Well	Non-border cells - Nucleus Axial Length Ratio  - Mean per Well	Non-border cells - Nucleus Radial Mean  - Mean per Well	Non-border cells - Nucleus Radial Relative Deviation  - Mean per Well	Non-border cells - Nucleus Profile 1/2  - Mean per Well	Non-border cells - Nucleus Profile 2/2  - Mean per Well	Non-border cells - Nucleus HOECHST 33342 SER Spot 2 px - Mean per Well	Non-border cells - Nucleus HOECHST 33342 SER Hole 2 px - Mean per Well	Non-border cells - Nucleus HOECHST 33342 SER Edge 2 px - Mean per Well	Non-border cells - Nucleus HOECHST 33342 SER Ridge 2 px - Mean per Well	Non-border cells - Nucleus HOECHST 33342 SER Valley 2 px - Mean per Well	Non-border cells - Nucleus HOECHST 33342 SER Saddle 2 px - Mean per Well	Non-border cells - Nucleus HOECHST 33342 SER Bright 2 px - Mean per Well	Non-border cells - Nucleus HOECHST 33342 SER Dark 2 px - Mean per Well	Non-border cells - Nucleus HOECHST 33342 Haralick Correlation 1 px - Mean per Well	Non-border cells - Nucleus HOECHST 33342 Haralick Contrast 1 px - Mean per Well	Non-border cells - Nucleus HOECHST 33342 Haralick Sum Variance 1 px - Mean per Well	Non-border cells - Nucleus HOECHST 33342 Haralick Homogeneity 1 px - Mean per Well	Non-border cells - Intensity Spots MCTracker Deep Red Mean - Mean per Well	Non-border cells - Spots Area [µm²] - Mean per Well	Non-border cells - Spots Roundness - Mean per Well	Non-border cells - Spots Width [µm] - Mean per Well	Non-border cells - Spots Length [µm] - Mean per Well	Non-border cells - Spots Symmetry 02  - Mean per Well	Non-border cells - Spots Symmetry 03  - Mean per Well	Non-border cells - Spots Symmetry 04  - Mean per Well	Non-border cells - Spots Symmetry 05  - Mean per Well	Non-border cells - Spots Symmetry 12  - Mean per Well	Non-border cells - Spots Symmetry 13  - Mean per Well	Non-border cells - Spots Symmetry 14  - Mean per Well	Non-border cells - Spots Symmetry 15  - Mean per Well	Non-border cells - Spots Threshold Compactness 30%  - Mean per Well	Non-border cells - Spots Threshold Compactness 40%  - Mean per Well	Non-border cells - Spots Threshold Compactness 50%  - Mean per Well	Non-border cells - Spots Threshold Compactness 60%  - Mean per Well	Non-border cells - Spots Axial Small Length  - Mean per Well	Non-border cells - Spots Axial Length Ratio  - Mean per Well	Non-border cells - Spots Radial Mean  - Mean per Well	Non-border cells - Spots Radial Relative Deviation  - Mean per Well	Non-border cells - Spots Profile 1/5  - Mean per Well	Non-border cells - Spots Profile 2/5  - Mean per Well	Non-border cells - Spots Profile 3/5  - Mean per Well	Non-border cells - Spots Profile 4/5  - Mean per Well	Non-border cells - Spots Profile 5/5  - Mean per Well	Non-border cells - Spots MCTracker Deep Red SER Spot 1.8 px - Mean per Well	Non-border cells - Spots MCTracker Deep Red SER Hole 1.8 px - Mean per Well	Non-border cells - Spots MCTracker Deep Red SER Edge 1.8 px - Mean per Well	Non-border cells - Spots MCTracker Deep Red SER Ridge 1.8 px - Mean per Well	Non-border cells - Spots MCTracker Deep Red SER Valley 1.8 px - Mean per Well	Non-border cells - Spots MCTracker Deep Red SER Saddle 1.8 px - Mean per Well	Non-border cells - Spots MCTracker Deep Red SER Bright 1.8 px - Mean per Well	Non-border cells - Spots MCTracker Deep Red SER Dark 1.8 px - Mean per Well	Non-border cells - Spots MCTracker Deep Red Haralick Correlation 1 px - Mean per Well	Non-border cells - Spots MCTracker Deep Red Haralick Contrast 1 px - Mean per Well	Non-border cells - Spots MCTracker Deep Red Haralick Sum Variance 1 px - Mean per Well	Non-border cells - Spots MCTracker Deep Red Haralick Homogeneity 1 px - Mean per Well	Non-border cells - Intensity Cytoplasm Alexa 594 Mean - Mean per Well	Non-border cells - Intensity Cell Alexa 488 Mean - Mean per Well
B4	2	4	11	DMSO	0.2	776	1541.73	0.08	60.45	0.02	12860.92	120.35	0.96	0.13	0.04	0.03	0.02	0.19	0.06	0.04	0.03	1.11	1.09	1.04	0.97	5.98	0.79	6.4	0.4	0.93	1.22	0.02	0	0.14	0.02	0	0.01	0.03	0	0.85	0.02	0.06	0.42	13646.09	542.77	0.1	3.92	17.79	0.46	0.18	0.27	0.17	0.57	0.22	0.37	0.23	0.36	0.44	0.53	0.66	15.81	0.45	26.3	0.49	0.97	1.37	2.22	0.98	0.78	0.02	0	0.12	0.04	0.01	0.03	0.05	0.01	0.9	0.07	0.38	0.32	2135.09	676.16
B4	2	4	12	DMSO	0.2	774	1522.68	0.08	59.29	0.02	12652.91	118.82	0.96	0.13	0.04	0.03	0.02	0.19	0.06	0.04	0.03	1.11	1.09	1.04	0.96	5.94	0.79	6.35	0.4	0.93	1.22	0.02	0	0.15	0.02	0	0.01	0.03	0	0.84	0.02	0.06	0.42	13188.32	536.08	0.1	3.93	17.05	0.46	0.18	0.27	0.17	0.57	0.21	0.36	0.22	0.36	0.44	0.54	0.66	15.48	0.45	26.05	0.49	0.97	1.37	2.3	1.01	0.8	0.02	0	0.12	0.04	0.01	0.03	0.05	0.01	0.9	0.07	0.39	0.33	2168.22	688.44
B4	2	4	13	DMSO	0.2	780	1490.5	0.08	58.71	0.02	12747.58	117.44	0.96	0.13	0.04	0.03	0.02	0.19	0.06	0.04	0.03	1.11	1.09	1.04	0.96	5.9	0.79	6.31	0.4	0.93	1.22	0.02	0	0.15	0.02	0	0.01	0.03	0	0.84	0.02	0.06	0.42	12932.37	524.74	0.11	3.9	17.52	0.46	0.18	0.27	0.17	0.57	0.22	0.36	0.23	0.36	0.45	0.54	0.66	15.52	0.46	25.87	0.49	0.97	1.36	2.32	1.03	0.82	0.02	0	0.12	0.04	0.01	0.03	0.05	0.01	0.9	0.07	0.39	0.33	2083.76	709.11
B4	2	4	14	DMSO	0.2	773	1476.06	0.08	56.55	0.02	13210.83	115.51	0.96	0.13	0.04	0.03	0.02	0.19	0.06	0.04	0.03	1.11	1.09	1.04	0.97	5.84	0.79	6.26	0.4	0.93	1.23	0.02	0	0.15	0.02	0	0.01	0.03	0	0.84	0.02	0.06	0.41	12810.45	519.63	0.11	3.96	17.65	0.46	0.18	0.28	0.17	0.57	0.22	0.37	0.22	0.37	0.45	0.55	0.67	15.4	0.46	25.62	0.5	0.97	1.36	2.31	1.04	0.82	0.02	0	0.12	0.04	0.01	0.03	0.05	0.01	0.9	0.07	0.39	0.33	2036.82	727.21
B5	2	5	1	DMSO	0.2	825	1652.63	0.09	66.5	0.02	10793.38	137.31	0.97	0.13	0.04	0.03	0.02	0.19	0.05	0.04	0.02	1.12	1.11	1.08	0.98	6.45	0.78	6.94	0.4	0.93	1.18	0.02	0	0.13	0.02	0	0.01	0.03	0	0.84	0.01	0.04	0.48	11848.73	582.01	0.1	3.93	16.62	0.42	0.18	0.24	0.16	0.52	0.22	0.31	0.22	0.36	0.46	0.56	0.69	17.22	0.5	26.12	0.47	0.97	1.39	2.06	0.71	0.47	0.02	0	0.13	0.04	0.01	0.03	0.05	0.01	0.89	0.06	0.34	0.3	3576.23	399.43
B5	2	5	2	DMSO	0.2	815	1637.42	0.08	67.18	0.02	11346.15	130.85	0.96	0.13	0.04	0.03	0.02	0.19	0.06	0.05	0.03	1.11	1.1	1.06	0.96	6.25	0.78	6.76	0.4	0.93	1.19	0.02	0	0.13	0.02	0	0.01	0.03	0	0.84	0.01	0.05	0.46	12481.97	576.47	0.1	3.83	16.27	0.42	0.18	0.24	0.17	0.52	0.22	0.31	0.22	0.35	0.45	0.55	0.67	17.1	0.5	26.14	0.47	0.98	1.4	1.97	0.79	0.58	0.02	0	0.12	0.04	0.01	0.03	0.05	0.01	0.89	0.06	0.33	0.3	2111.6	455.95
B5	2	5	3	DMSO	0.2	805	1638.38	0.08	67.03	0.02	11602.18	129.52	0.96	0.14	0.04	0.03	0.02	0.2	0.06	0.05	0.03	1.11	1.1	1.06	0.97	6.2	0.78	6.7	0.4	0.93	1.2	0.02	0	0.13	0.02	0	0.01	0.03	0	0.84	0.01	0.05	0.46	13059.8	576.83	0.1	3.81	16.61	0.43	0.19	0.25	0.16	0.53	0.22	0.33	0.22	0.36	0.45	0.54	0.66	16.77	0.49	25.79	0.48	0.97	1.4	2.09	0.85	0.67	0.02	0	0.12	0.04	0.01	0.03	0.05	0.01	0.9	0.06	0.36	0.31	2160.45	504.57
B5	2	5	4	DMSO	0.2	812	1594.67	0.08	65.28	0.02	12741.16	125.82	0.96	0.14	0.04	0.03	0.02	0.2	0.06	0.05	0.03	1.11	1.1	1.06	0.98	6.08	0.77	6.59	0.4	0.93	1.2	0.02	0	0.13	0.02	0	0.01	0.03	0	0.85	0.02	0.05	0.45	13398.99	561.38	0.12	3.76	15.86	0.43	0.18	0.25	0.16	0.52	0.22	0.32	0.22	0.39	0.47	0.56	0.67	16.37	0.49	25.43	0.48	0.97	1.39	2.09	0.88	0.71	0.02	0	0.12	0.04	0.01	0.03	0.05	0.01	0.9	0.06	0.38	0.32	2092.95	550.25
B5	2	5	5	DMSO	0.2	759	1548.19	0.08	62.83	0.02	14482.14	122.52	0.96	0.15	0.04	0.03	0.02	0.21	0.06	0.05	0.03	1.11	1.1	1.06	0.99	5.93	0.76	6.5	0.41	0.93	1.21	0.02	0	0.14	0.02	0	0.01	0.03	0	0.85	0.02	0.05	0.44	13288.43	545.08	0.14	3.83	15.9	0.44	0.18	0.26	0.17	0.54	0.21	0.34	0.22	0.4	0.49	0.58	0.7	15.85	0.48	25.16	0.49	0.97	1.38	2.05	0.93	0.79	0.02	0	0.12	0.04	0.01	0.03	0.05	0.01	0.9	0.06	0.38	0.33	1961.57	558.34
B5	2	5	6	DMSO	0.2	720	1585.43	0.08	64.33	0.02	14335.95	121.92	0.96	0.14	0.05	0.03	0.02	0.21	0.06	0.05	0.03	1.11	1.09	1.06	0.98	5.95	0.77	6.48	0.41	0.93	1.21	0.02	0	0.14	0.02	0	0.01	0.03	0	0.85	0.02	0.05	0.44	13246.73	558.14	0.13	3.76	15.56	0.43	0.18	0.26	0.16	0.53	0.21	0.34	0.21	0.4	0.48	0.57	0.68	16.04	0.48	25.34	0.5	0.97	1.37	2.17	1.02	0.88	0.02	0	0.12	0.04	0.01	0.03	0.05	0.01	0.9	0.06	0.4	0.34	1992.68	571.6
B5	2	5	7	DMSO	0.2	700	1617.6	0.07	67.78	0.02	14395.38	122.01	0.95	0.14	0.05	0.03	0.02	0.2	0.06	0.05	0.03	1.1	1.09	1.05	0.98	5.96	0.77	6.47	0.4	0.94	1.21	0.02	0	0.13	0.02	0	0.01	0.03	0	0.85	0.02	0.05	0.45	13221.29	569.53	0.12	3.58	14.94	0.45	0.18	0.26	0.17	0.55	0.21	0.35	0.22	0.38	0.46	0.55	0.66	16.55	0.47	26.64	0.48	0.98	1.39	2.11	1.04	0.9	0.02	0	0.12	0.04	0.01	0.03	0.05	0.01	0.89	0.06	0.37	0.32	1888.66	591.63
B5	2	5	8	DMSO	0.2	668	1669.12	0.07	69.42	0.02	13414.75	125.24	0.95	0.14	0.05	0.03	0.02	0.2	0.07	0.05	0.03	1.1	1.09	1.05	0.98	6.04	0.78	6.54	0.4	0.93	1.2	0.02	0	0.13	0.02	0	0.01	0.03	0	0.85	0.02	0.05	0.45	12989.02	587.63	0.12	3.61	15.38	0.45	0.18	0.27	0.16	0.55	0.21	0.35	0.21	0.38	0.46	0.55	0.67	16.69	0.47	27.2	0.49	0.97	1.39	2.25	1.04	0.87	0.02	0	0.12	0.04	0.01	0.03	0.05	0.01	0.9	0.07	0.39	0.32	1953.73	607.69
B5	2	5	9	DMSO	0.2	652	1664	0.07	67.08	0.02	12889.06	122.52	0.95	0.14	0.05	0.03	0.02	0.2	0.07	0.05	0.03	1.1	1.09	1.05	0.97	5.99	0.78	6.47	0.4	0.93	1.21	0.02	0	0.13	0.02	0	0.01	0.03	0	0.85	0.02	0.05	0.45	12524.66	585.68	0.14	3.69	15.53	0.42	0.17	0.26	0.16	0.53	0.21	0.34	0.21	0.4	0.48	0.57	0.68	16.33	0.49	25.98	0.49	0.97	1.37	2.3	1.09	0.91	0.02	0	0.12	0.04	0.01	0.03	0.05	0.01	0.89	0.06	0.4	0.34	1951.72	628.33
B5	2	5	10	DMSO	0.2	638	1678.66	0.07	68.84	0.02	13334.01	121.89	0.95	0.14	0.05	0.03	0.02	0.2	0.07	0.05	0.03	1.1	1.09	1.05	0.97	5.98	0.78	6.45	0.4	0.93	1.21	0.02	0	0.14	0.02	0	0.01	0.03	0	0.85	0.02	0.05	0.44	12360.16	591.08	0.13	3.73	15.34	0.44	0.17	0.27	0.17	0.54	0.21	0.35	0.22	0.4	0.47	0.57	0.68	16.52	0.48	26.66	0.49	0.97	1.37	2.36	1.14	0.94	0.02	0	0.12	0.04	0.01	0.03	0.05	0.01	0.89	0.07	0.4	0.33	1925.13	656.31
B5	2	5	11	DMSO	0.2	642	1638.17	0.07	70.44	0.02	13683.2	120.11	0.95	0.14	0.05	0.03	0.02	0.2	0.07	0.05	0.03	1.1	1.09	1.05	0.98	5.92	0.78	6.41	0.4	0.93	1.21	0.02	0	0.14	0.02	0	0.01	0.03	0	0.85	0.02	0.05	0.44	12518.33	576.71	0.13	3.65	15.38	0.43	0.18	0.26	0.17	0.54	0.21	0.34	0.22	0.39	0.47	0.55	0.66	16.61	0.48	26.7	0.49	0.98	1.37	2.23	1.1	0.92	0.02	0	0.12	0.04	0.01	0.03	0.05	0.01	0.89	0.06	0.38	0.33	1798.25	678.43
B5	2	5	12	DMSO	0.2	628	1618.18	0.07	69.4	0.02	13904.5	118.54	0.95	0.14	0.05	0.03	0.02	0.2	0.07	0.05	0.03	1.1	1.09	1.05	0.97	5.88	0.78	6.35	0.41	0.93	1.22	0.02	0	0.14	0.02	0	0.01	0.03	0	0.85	0.02	0.06	0.44	12368.63	569.73	0.13	3.71	15.45	0.44	0.17	0.26	0.16	0.54	0.21	0.35	0.22	0.39	0.47	0.56	0.67	16.23	0.48	26.23	0.49	0.98	1.36	2.27	1.13	0.94	0.02	0	0.12	0.04	0.01	0.03	0.05	0.01	0.88	0.06	0.37	0.33	1790.05	693.83
B5	2	5	13	DMSO	0.2	641	1585.63	0.07	67.52	0.02	13583.55	117.83	0.95	0.14	0.05	0.03	0.02	0.2	0.07	0.05	0.03	1.1	1.09	1.05	0.97	5.86	0.78	6.33	0.41	0.93	1.22	0.02	0	0.14	0.02	0	0.01	0.03	0	0.85	0.02	0.06	0.44	12028.24	558.31	0.14	3.64	15.49	0.44	0.18	0.27	0.16	0.54	0.21	0.35	0.22	0.4	0.48	0.57	0.69	16.13	0.48	26.1	0.48	0.98	1.36	2.31	1.22	1.02	0.02	0	0.12	0.04	0.01	0.03	0.05	0.01	0.89	0.07	0.38	0.33	1735.59	701.53
B5	2	5	14	DMSO	0.2	653	1534.71	0.07	67.12	0.02	13561.65	118.11	0.95	0.14	0.05	0.04	0.02	0.2	0.07	0.05	0.03	1.1	1.08	1.04	0.98	5.84	0.77	6.32	0.41	0.94	1.22	0.02	0	0.14	0.02	0	0.01	0.03	0	0.85	0.02	0.06	0.44	11759.14	540.36	0.15	3.57	15.24	0.44	0.18	0.27	0.16	0.54	0.21	0.35	0.21	0.41	0.49	0.59	0.7	15.84	0.48	25.93	0.48	0.98	1.35	2.27	1.19	1	0.02	0	0.11	0.04	0.01	0.02	0.05	0.01	0.88	0.06	0.37	0.33	1651.44	707.76
